item_id,by,rating,blurb,url
010afc9e-131e-44b0-b400-10feff11e4c5,Mark Cuban,,,
103385e9-f789-40e6-b561-0e162b58e5fb,Mark Cuban,,,
43ad3ec5-2d4e-4792-b360-cfb980898278,Mark Cuban,,,
d02d148a-762a-4ba2-9713-30a497d7964d,Mark Cuban,,,
be549b9b-436b-460e-972f-ca80672524ba,Mark Cuban,,,
ffe297bc-e636-46d1-b2ff-2d14f40f1741,Mark Cuban,,,
ed42d0d5-2e85-4166-a547-d9af8b29adc7,Mark Cuban,,,
ef977413-8afb-4f23-8538-ef08bc3f7add,Steve Jobs,,,
a62682ab-2a94-4380-8f60-e950c8e98d68,Steve Jobs,,,
a5200867-4f36-4a72-919b-aacec459184b,Steve Jobs,,,
d77e0d34-6d7a-427b-ae5a-50c79ee54128,Steve Jobs,,,
1fa6e67a-90ca-4081-880a-8e972bc901cd,Steve Jobs,,,
d02d148a-762a-4ba2-9713-30a497d7964d,Steve Jobs,,,
d012f32f-27e2-4f21-8478-0531c1b8b789,Steve Jobs,,,
a4631bf4-a5cd-4389-b9af-4f990176507a,Steve Jobs,,,
6530e1b0-0812-4d45-8f18-8d13dfd808dd,Steve Jobs,,,
7c63bf71-64a8-41a0-bded-96e3de749def,Steve Jobs,,,
49c35a34-481e-4dfb-a0db-ad2a7fea8251,Steve Jobs,,,
a5200867-4f36-4a72-919b-aacec459184b,Kevin Rose,,,
5d319959-6d6b-43ec-8570-f597be3dfe56,Kevin Rose,,,
8419bfaa-98ab-4d23-ade8-39df1b531d86,Kevin Rose,,,
7c172383-0e85-42b1-9f96-a8b32fb8b995,Kevin Rose,,,
82079d0e-b99a-46af-8672-b5830247fb3f,Kevin Rose,,,
fbf178a5-7f08-45e6-b4f3-d8339447bcb3,Reid Hoffman,,,
52e0563e-87f3-4b15-b747-6f4c1b7629f7,Reid Hoffman,,,
0d8e6351-98ba-4173-b721-0007aad0fa31,Reid Hoffman,,,
cfbcbc8f-4c6b-4024-bcb1-35aea05d50fe,Reid Hoffman,,,
81ef71a9-2f27-4bc5-97b9-32b2175a983a,Reid Hoffman,,,
02f8f6c3-a182-42bc-9577-36fc94365db1,Reid Hoffman,,,
c9d3e246-0e7c-4519-8912-4a2f16f840fd,Reid Hoffman,,,
0d44ad3d-71f6-4384-b5a5-1bf44002c103,Reid Hoffman,,,
67d8aa14-87ea-400f-ac40-9303d689e1a7,Reid Hoffman,,,
7cbf42e1-9b0e-499d-94b4-4ef97d99d5e4,Reid Hoffman,,,
603b7947-b2d2-417f-bdb1-a42478390bfc,Reid Hoffman,,,
62bb9a5a-f4d3-49df-b1bd-e6eb61489a66,Reid Hoffman,,,
d345e057-1398-47d6-9231-1defb2986d37,Travis Kalanick,,,
d010be32-84d8-4c91-8819-d0772e439f3c,Travis Kalanick,,,
ed42d0d5-2e85-4166-a547-d9af8b29adc7,Travis Kalanick,,,
b77ec904-31e6-41d9-b0cb-d3647cb92307,Kevin Systrom,,,
25aa50f8-f132-4c41-aaeb-0ef2de952775,Kevin Systrom,,,
5fcf1273-e88a-44a6-94da-89d186fbe86b,Kevin Systrom,,,
4cff29ec-6899-419d-8784-3f9f1356ad42,Kevin Systrom,,,
010afc9e-131e-44b0-b400-10feff11e4c5,Kevin Systrom,,,
33d3f7e5-beb8-4629-beff-69aae02f17e0,Kevin Systrom,,,
17ccf443-c9ea-4d9a-a2a7-47f3c074d278,Kevin Systrom,,,
027e088e-d795-4866-89ff-fa134c4a12d4,Kevin Systrom,,,
c66818bb-3287-4b86-a422-2ec3c4c76afe,Kevin Systrom,,,
c65f7945-49b1-4a68-aaf1-baa73798e315,Daniel Ek,,,
fa89b19a-2244-4003-8531-ad8babf3712f,Daniel Ek,,,
390e9067-87e0-45a7-a585-8560fb7fb690,Daniel Ek,,,
ccd2e254-b3d3-4f5a-ad72-294a519a9f8f,Daniel Ek,,,
9277f555-ea44-46ba-ac1a-f2188d7907de,Daniel Ek,,,
551da0a7-c838-4dc6-8c45-7332345408b5,Daniel Ek,,,
f2c2d204-bcd1-4f82-bc75-96022823971e,Daniel Ek,,,
ef6462a0-3586-4816-afb5-a854cb7290b7,Daniel Ek,,,
fbe151a7-5174-4e1d-945f-c454551dea16,Daniel Ek,,,
86b846f7-74e9-4ae7-a47a-5f937409c49d,Daniel Ek,,,
fa89b19a-2244-4003-8531-ad8babf3712f,Ashton Kutcher,,,
e9ef3d59-06ad-4177-887e-68a3924aa46a,Ashton Kutcher,,,
dc1e6408-0b0d-4349-b4a6-8823cfe687db,Ashton Kutcher,,,
941f1188-71c0-46be-a992-93ebe6b77c03,Ashton Kutcher,,,
77bb5390-1a3c-468d-85e4-5eb5a7ff0242,Ashton Kutcher,,,
