name,display_name,image,parent_id,sort_index
boilers,boilers,https://images.unsplash.com/photo-1546197001-823e4113fdbb?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
5g,5g,https://images.unsplash.com/photo-1592508348786-5b41c6b4d935?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
critical-path-method,critical-path-method,https://images.unsplash.com/photo-1573321199606-a12ad0e012d4?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
vocology,vocology,https://images.unsplash.com/source-404?fit=crop&fm=jpg&h=800&q=60&w=1200,,
breast-cancer,breast-cancer,https://images.unsplash.com/photo-1552034350-f9a94480c6e8?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
water-treatment,water-treatment,https://images.unsplash.com/photo-1533077162801-86490c593afb?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
pelvis,pelvis,https://images.unsplash.com/source-404?fit=crop&fm=jpg&h=800&q=60&w=1200,,
autism,autism,https://images.unsplash.com/photo-1490168040734-2226e72962f6?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
obesity,obesity,https://images.unsplash.com/photo-1499570918316-49e6bdd500b7?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
intellectual-disability,intellectual-disability,https://images.unsplash.com/photo-1592421972260-58575a63b022?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
nordic-diet,nordic-diet,https://images.unsplash.com/photo-1488163767548-dd55cd75ece7?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
patient-safety,patient-safety,https://images.unsplash.com/photo-1584714268709-c3dd9c92b378?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
bacterias,bacterias,https://images.unsplash.com/photo-1535127022272-dbe7ee35cf33?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
beef,beef,https://images.unsplash.com/photo-1530524428108-f983ca74ad0f?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
antimicrobial-therapy,antimicrobial-therapy,https://images.unsplash.com/photo-1528716321680-815a8cdb8cbe?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
parasitology,parasitology,https://images.unsplash.com/source-404?fit=crop&fm=jpg&h=800&q=60&w=1200,,
cancer,cancer,https://images.unsplash.com/photo-1579684256060-d5a308109e21?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
clinical-simulation,clinical-simulation,https://images.unsplash.com/photo-1581056771085-3ce30d907416?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
oral-cavity,oral-cavity,https://images.unsplash.com/photo-1561328399-f94d2ce78679?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
medical-technology,medical-technology,https://images.unsplash.com/photo-1538174328773-472e75304512?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
renal-disease,renal-disease,https://images.unsplash.com/photo-1583324113900-5de25534bb2f?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
biohacking,biohacking,https://images.unsplash.com/source-404?fit=crop&fm=jpg&h=800&q=60&w=1200,,
alternative-medicine,alternative-medicine,https://images.unsplash.com/photo-1483480798629-0a045ab9acdb?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,medicine,
regulations,regulations,https://images.unsplash.com/photo-1597926576452-0f8ad9efdae0?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
depression,depression,https://images.unsplash.com/photo-1484973768669-7fb6b5451095?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
diseases,diseases,https://images.unsplash.com/photo-1584714268709-c3dd9c92b378?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
abdomen,abdomen,https://images.unsplash.com/photo-1470583190240-bd6bbde8a569?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
transgender-medicine,transgender-medicine,https://images.unsplash.com/photo-1532336414038-cf19250c5757?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,medicine,
prostate-cancer,prostate-cancer,https://images.unsplash.com/photo-1582719471863-f4c7006280cd?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
spa,spa,https://images.unsplash.com/photo-1532926381893-7542290edf1d?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
south-asia,south-asia,https://images.unsplash.com/photo-1516264665768-5525834929bf?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
open-data,open-data,https://images.unsplash.com/photo-1584433144697-205892243f4d?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
death,death,https://images.unsplash.com/photo-1537012214261-b9b0edaca71b?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
mri,mri,https://images.unsplash.com/photo-1581595220057-eefa8c4add1b?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
leif-babin,leif-babin,https://images.unsplash.com/photo-1535949228921-80c784a22c9f?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
tumors,tumors,https://images.unsplash.com/photo-1579684385127-1ef15d508118?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
heart,heart,https://images.unsplash.com/photo-1517170542039-828554f01556?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,medicine,
lifestyle-medicine,lifestyle-medicine,https://images.unsplash.com/photo-1588186593114-e7b26b2890b5?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
disaster-medicine,disaster-medicine,https://images.unsplash.com/photo-1459539235056-5045ca20e525?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
urology,urology,https://images.unsplash.com/source-404?fit=crop&fm=jpg&h=800&q=60&w=1200,medicine,
two-phase-flow,two-phase-flow,https://images.unsplash.com/photo-1562265941-14f8d55fe328?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
pediatrics,pediatrics,https://images.unsplash.com/photo-1576089235406-0612d7bb033e?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
hepatitis,hepatitis,https://images.unsplash.com/source-404?fit=crop&fm=jpg&h=800&q=60&w=1200,,
advocacympolicy,advocacympolicy,https://images.unsplash.com/source-404?fit=crop&fm=jpg&h=800&q=60&w=1200,,
cataract-surgery,cataract-surgery,https://images.unsplash.com/photo-1579684385127-1ef15d508118?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
behavioral-medicine,behavioral-medicine,https://images.unsplash.com/photo-1576065435202-e0a7979b93e3?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
gmo,gmo,https://images.unsplash.com/photo-1437252611977-07f74518abd7?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
children,children,https://images.unsplash.com/photo-1565964249363-88573c500ab4?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
hypothyroidism,hypothyroidism,https://images.unsplash.com/source-404?fit=crop&fm=jpg&h=800&q=60&w=1200,,
injury,injury,https://images.unsplash.com/photo-1516069677018-378515003435?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
ebola,ebola,https://images.unsplash.com/photo-1580378156095-317d986123f8?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
oral-health,oral-health,https://images.unsplash.com/photo-1561328399-f94d2ce78679?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
imflammation,imflammation,https://images.unsplash.com/source-404?fit=crop&fm=jpg&h=800&q=60&w=1200,,
